source,plot_family,contrast,scope,figure,requested_genes,plotted_genes,missing_genes,segment_filter,segment_label,contrast_label,disease_status_levels,boxplot_x_column,boxplot_color_column,boxplot_facet_column,samples_plotted,output_pdf,output_png,status,reason
top_genes:Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8:all_samples,top_genes,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,all_samples,top_genes_limma_trend_GeoDiff_Acinar_Healthy_-_Acinar_T_01737539,10,10,0,<none>,All matched samples,Contrast 01: Acinar_Healthy vs NonAcinar_Healthy,Healthy; Tumor,cell_type,disease_status,<none>,276,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/all/top_genes_limma_trend_GeoDiff_Acinar_Healthy_-_Acinar_T_01737539.pdf,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/all/top_genes_limma_trend_GeoDiff_Acinar_Healthy_-_Acinar_T_01737539.png,plotted,"All matched samples panel generated before segment-specific tabs. Samples were restricted to the Stage 5 contrast arms 'Acinar_Healthy' and 'NonAcinar_Healthy'. Boxes use the configured 'cell_type' metadata column and points use the configured 'disease_status' metadata column. For one-vs-rest contrasts, the denominator arm aggregates the denominator terms recorded in contrast_table_expanded.tsv. Generated."
top_genes:Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8:Panck,top_genes,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,segment_filtered,top_genes_limma_trend_GeoDiff_Acinar_Healthy_-_Acinar_T_01608346,10,10,0,^Panck$,Panck,Contrast 01: Acinar_Healthy vs NonAcinar_Healthy,Healthy,cell_type,disease_status,<none>,94,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_Acinar_Healthy_-_Acinar_T_01608346.pdf,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_Acinar_Healthy_-_Acinar_T_01608346.png,plotted,Segment tab generated from metadata column 'segment'. Generated.
top_genes:Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8:Panck-(Stroma),top_genes,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,segment_filtered,top_genes_limma_trend_GeoDiff_Acinar_Healthy_-_Acinar_T_01755212,10,10,0,^Panck-\(Stroma\)$,Panck-(Stroma),Contrast 01: Acinar_Healthy vs NonAcinar_Healthy,Tumor,cell_type,disease_status,<none>,28,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_Acinar_Healthy_-_Acinar_T_01755212.pdf,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_Acinar_Healthy_-_Acinar_T_01755212.png,plotted,Segment tab generated from metadata column 'segment'. Generated.
top_genes:Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8:Panck Cd45 Negative,top_genes,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,segment_filtered,top_genes_limma_trend_GeoDiff_Acinar_Healthy_-_Acinar_T_01836507,10,10,0,^Panck Cd45 Negative$,Panck Cd45 Negative,Contrast 01: Acinar_Healthy vs NonAcinar_Healthy,Healthy,cell_type,disease_status,<none>,20,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_Acinar_Healthy_-_Acinar_T_01836507.pdf,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_Acinar_Healthy_-_Acinar_T_01836507.png,plotted,Segment tab generated from metadata column 'segment'. Generated.
top_genes:Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8:Panck+(Epi),top_genes,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,segment_filtered,top_genes_limma_trend_GeoDiff_Acinar_Healthy_-_Acinar_T_01687385,10,10,0,^Panck\+\(Epi\)$,Panck+(Epi),Contrast 01: Acinar_Healthy vs NonAcinar_Healthy,Tumor,cell_type,disease_status,<none>,68,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_Acinar_Healthy_-_Acinar_T_01687385.pdf,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_Acinar_Healthy_-_Acinar_T_01687385.png,plotted,Segment tab generated from metadata column 'segment'. Generated.
top_genes:Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8:Panck+(Epithelial),top_genes,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,segment_filtered,top_genes_limma_trend_GeoDiff_Acinar_Healthy_-_Acinar_T_01833960,10,10,0,^Panck\+\(Epithelial\)$,Panck+(Epithelial),Contrast 01: Acinar_Healthy vs NonAcinar_Healthy,Tumor,cell_type,disease_status,<none>,66,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_Acinar_Healthy_-_Acinar_T_01833960.pdf,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_Acinar_Healthy_-_Acinar_T_01833960.png,plotted,Segment tab generated from metadata column 'segment'. Generated.
top_genes:Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8:all_samples,top_genes,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,all_samples,top_genes_limma_trend_GeoDiff_Acinar_Tumor_-_Acinar_Hea_01737745,10,10,0,<none>,All matched samples,Contrast 02: Acinar_Tumor vs NonAcinar_Tumor,Healthy; Tumor,cell_type,disease_status,<none>,276,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/all/top_genes_limma_trend_GeoDiff_Acinar_Tumor_-_Acinar_Hea_01737745.pdf,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/all/top_genes_limma_trend_GeoDiff_Acinar_Tumor_-_Acinar_Hea_01737745.png,plotted,"All matched samples panel generated before segment-specific tabs. Samples were restricted to the Stage 5 contrast arms 'Acinar_Tumor' and 'NonAcinar_Tumor'. Boxes use the configured 'cell_type' metadata column and points use the configured 'disease_status' metadata column. For one-vs-rest contrasts, the denominator arm aggregates the denominator terms recorded in contrast_table_expanded.tsv. Generated."
top_genes:Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8:Panck,top_genes,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,segment_filtered,top_genes_limma_trend_GeoDiff_Acinar_Tumor_-_Acinar_Hea_01608552,10,10,0,^Panck$,Panck,Contrast 02: Acinar_Tumor vs NonAcinar_Tumor,Healthy,cell_type,disease_status,<none>,94,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_Acinar_Tumor_-_Acinar_Hea_01608552.pdf,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_Acinar_Tumor_-_Acinar_Hea_01608552.png,plotted,Segment tab generated from metadata column 'segment'. Generated.
top_genes:Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8:Panck-(Stroma),top_genes,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,segment_filtered,top_genes_limma_trend_GeoDiff_Acinar_Tumor_-_Acinar_Hea_01755418,10,10,0,^Panck-\(Stroma\)$,Panck-(Stroma),Contrast 02: Acinar_Tumor vs NonAcinar_Tumor,Tumor,cell_type,disease_status,<none>,28,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_Acinar_Tumor_-_Acinar_Hea_01755418.pdf,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_Acinar_Tumor_-_Acinar_Hea_01755418.png,plotted,Segment tab generated from metadata column 'segment'. Generated.
top_genes:Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8:Panck Cd45 Negative,top_genes,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,segment_filtered,top_genes_limma_trend_GeoDiff_Acinar_Tumor_-_Acinar_Hea_01836713,10,10,0,^Panck Cd45 Negative$,Panck Cd45 Negative,Contrast 02: Acinar_Tumor vs NonAcinar_Tumor,Healthy,cell_type,disease_status,<none>,20,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_Acinar_Tumor_-_Acinar_Hea_01836713.pdf,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_Acinar_Tumor_-_Acinar_Hea_01836713.png,plotted,Segment tab generated from metadata column 'segment'. Generated.
top_genes:Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8:Panck+(Epi),top_genes,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,segment_filtered,top_genes_limma_trend_GeoDiff_Acinar_Tumor_-_Acinar_Hea_01687591,10,10,0,^Panck\+\(Epi\)$,Panck+(Epi),Contrast 02: Acinar_Tumor vs NonAcinar_Tumor,Tumor,cell_type,disease_status,<none>,68,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_Acinar_Tumor_-_Acinar_Hea_01687591.pdf,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_Acinar_Tumor_-_Acinar_Hea_01687591.png,plotted,Segment tab generated from metadata column 'segment'. Generated.
top_genes:Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8:Panck+(Epithelial),top_genes,Acinar_Tumor - (Acinar_Healthy + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,segment_filtered,top_genes_limma_trend_GeoDiff_Acinar_Tumor_-_Acinar_Hea_01834166,10,10,0,^Panck\+\(Epithelial\)$,Panck+(Epithelial),Contrast 02: Acinar_Tumor vs NonAcinar_Tumor,Tumor,cell_type,disease_status,<none>,66,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_Acinar_Tumor_-_Acinar_Hea_01834166.pdf,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_Acinar_Tumor_-_Acinar_Hea_01834166.png,plotted,Segment tab generated from metadata column 'segment'. Generated.
top_genes:ADM_Healthy - (Acinar_Healthy + Acinar_Tumor + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8:all_samples,top_genes,ADM_Healthy - (Acinar_Healthy + Acinar_Tumor + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,all_samples,top_genes_limma_trend_GeoDiff_ADM_Healthy_-_Acinar_Heal_01741333,10,10,0,<none>,All matched samples,Contrast 03: ADM_Healthy vs NonADM_Healthy,Healthy; Tumor,cell_type,disease_status,<none>,276,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/all/top_genes_limma_trend_GeoDiff_ADM_Healthy_-_Acinar_Heal_01741333.pdf,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/all/top_genes_limma_trend_GeoDiff_ADM_Healthy_-_Acinar_Heal_01741333.png,plotted,"All matched samples panel generated before segment-specific tabs. Samples were restricted to the Stage 5 contrast arms 'ADM_Healthy' and 'NonADM_Healthy'. Boxes use the configured 'cell_type' metadata column and points use the configured 'disease_status' metadata column. For one-vs-rest contrasts, the denominator arm aggregates the denominator terms recorded in contrast_table_expanded.tsv. Generated."
top_genes:ADM_Healthy - (Acinar_Healthy + Acinar_Tumor + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8:Panck,top_genes,ADM_Healthy - (Acinar_Healthy + Acinar_Tumor + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,segment_filtered,top_genes_limma_trend_GeoDiff_ADM_Healthy_-_Acinar_Heal_01612140,10,10,0,^Panck$,Panck,Contrast 03: ADM_Healthy vs NonADM_Healthy,Healthy,cell_type,disease_status,<none>,94,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_ADM_Healthy_-_Acinar_Heal_01612140.pdf,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_ADM_Healthy_-_Acinar_Heal_01612140.png,plotted,Segment tab generated from metadata column 'segment'. Generated.
top_genes:ADM_Healthy - (Acinar_Healthy + Acinar_Tumor + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8:Panck-(Stroma),top_genes,ADM_Healthy - (Acinar_Healthy + Acinar_Tumor + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,segment_filtered,top_genes_limma_trend_GeoDiff_ADM_Healthy_-_Acinar_Heal_01759006,10,10,0,^Panck-\(Stroma\)$,Panck-(Stroma),Contrast 03: ADM_Healthy vs NonADM_Healthy,Tumor,cell_type,disease_status,<none>,28,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_ADM_Healthy_-_Acinar_Heal_01759006.pdf,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_ADM_Healthy_-_Acinar_Heal_01759006.png,plotted,Segment tab generated from metadata column 'segment'. Generated.
top_genes:ADM_Healthy - (Acinar_Healthy + Acinar_Tumor + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8:Panck Cd45 Negative,top_genes,ADM_Healthy - (Acinar_Healthy + Acinar_Tumor + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,segment_filtered,top_genes_limma_trend_GeoDiff_ADM_Healthy_-_Acinar_Heal_01840301,10,10,0,^Panck Cd45 Negative$,Panck Cd45 Negative,Contrast 03: ADM_Healthy vs NonADM_Healthy,Healthy,cell_type,disease_status,<none>,20,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_ADM_Healthy_-_Acinar_Heal_01840301.pdf,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_ADM_Healthy_-_Acinar_Heal_01840301.png,plotted,Segment tab generated from metadata column 'segment'. Generated.
top_genes:ADM_Healthy - (Acinar_Healthy + Acinar_Tumor + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8:Panck+(Epi),top_genes,ADM_Healthy - (Acinar_Healthy + Acinar_Tumor + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,segment_filtered,top_genes_limma_trend_GeoDiff_ADM_Healthy_-_Acinar_Heal_01691179,10,10,0,^Panck\+\(Epi\)$,Panck+(Epi),Contrast 03: ADM_Healthy vs NonADM_Healthy,Tumor,cell_type,disease_status,<none>,68,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_ADM_Healthy_-_Acinar_Heal_01691179.pdf,C:/R/gmx/Example_Dataset/Outputs/6_DE_Vis/figures/de/top/segment/top_genes_limma_trend_GeoDiff_ADM_Healthy_-_Acinar_Heal_01691179.png,plotted,Segment tab generated from metadata column 'segment'. Generated.
